Experience,Team Size,Requirements Changes,Overtime,Bugs,Code Reviews (%),Customer Meetings,Schedule Delay,Project Success
3.3,8,8,16,27,60.5,,42,0
6,5,4,4,1,,2,11,1
4.8,7,8,11,19,67.3,5,,0
6.5,6,3,4,10,62.7,5,7,1
7,5,4,2,8,82.3,3,15,1
2.6,4,1,8,,56.3,3,14,0
5.6,3,2,6,0,62.1,3,12,1
6.9,7,,12,,62.9,6,39,0
7.2,4,3,4,0,76,2,10,1
0.4,4,0,,2,57.6,2,7,1
5.1,9,9,14,33,55.4,6,45,0
5.7,9,7,13,27,59.1,5,46,0
8.6,10,8,17,29,71.2,6,45,0
3.4,9,9,14,22,55.2,,44,0
4.8,10,9,,31,58.5,6,62,0
8.5,8,9,17,28,79.4,6,48,0
5.7,7,2,4,11,68.7,4,18,1
4,8,5,16,20,39.6,5,37,0
5.5,7,5,10,10,75,3,15,1
6.1,7,6,11,13,60.3,5,34,1
3.9,5,0,3,4,54.2,3,1,1
2.5,6,8,20,32,36.9,6,51,0
3.1,7,2,8,15,63.3,3,9,1
2.2,9,9,13,32,52.5,,44,0
3,10,5,9,15,57.9,,30,0
4.6,7,4,5,15,54.8,3,20,1
7.3,9,8,16,29,69,5,48,0
7.4,9,9,15,23,61.7,6,51,0
6.4,7,4,12,13,65.7,3,31,0
6.4,11,8,18,39,46.2,6,56,0
4,8,7,14,29,49.7,6,35,0
6,4,3,,2,67,2,21,1
0,6,4,11,,44.8,4,25,0
4.3,4,3,7,8,,2,12,1
5.1,10,10,15,31,55.4,7,49,0
3.2,5,4,7,13,44.8,3,12,1
4.5,9,8,16,31,50.3,6,45,0
4.9,6,6,12,23,59.8,3,29,0
3.7,5,2,8,,56.5,0,15,1
5.6,11,9,21,33,58.2,7,53,0
2,3,2,5,6,56.4,1,2,1
5.8,5,4,8,11,62.7,2,18,1
4.1,4,3,,5,60.6,1,11,1
3.5,3,4,4,0,54.7,2,4,1
6.9,8,12,26,40,66.3,6,68,0
3.2,3,2,,8,58.8,4,10,1
3.1,4,3,5,0,53.3,3,7,1
6.4,4,,11,14,65.1,3,25,0
7.4,3,,4,0,75.5,3,0,1
2.8,7,6,,21,56.5,4,32,0
5.8,8,5,6,,54.6,5,26,0
4.1,8,5,13,21,48,5,30,0
3,10,6,20,35,,7,55,0
7.6,8,7,10,23,65.2,6,33,0
4.6,3,1,2,0,61.6,1,0,1
5.2,11,6,12,25,,5,36,0
,6,2,10,12,37.5,4,23,0
2.2,4,3,6,6,44.8,,15,1
5.7,9,6,11,22,68.7,5,31,0
4.1,8,9,,31,52.9,4,49,0
3.5,7,,2,0,61,3,4,1
4,9,10,17,35,,,53,0
6.1,5,5,1,5,84.1,4,6,1
3.8,5,3,5,2,58.8,1,11,1
8.1,3,0,3,0,69.4,3,2,1
7.4,9,5,14,18,68.8,4,,0
3.9,6,6,16,27,58.8,2,40,0
3.9,7,5,8,18,52.5,5,24,0
4.9,5,0,5,6,56.2,3,7,1
4.5,3,0,11,0,64.7,1,15,1
1.8,4,3,6,,45.8,1,18,1
6.1,,6,10,18,62.3,6,38,0
3.1,3,0,5,0,59,4,4,1
3.6,3,5,12,21,61.5,2,29,0
7.8,4,6,8,5,81.3,,17,1
1.7,7,11,23,37,46.1,7,65,0
6.7,7,1,,10,65,2,25,1
5.2,11,,11,15,,5,25,0
4,3,3,5,,57.8,2,10,1
5.5,3,3,2,2,68.2,,8,1
6.5,8,6,13,21,74,5,28,0
8.8,5,,6,6,77.7,4,7,1
5.7,8,4,9,17,62.4,5,22,0
,8,2,9,10,63.2,4,23,1
2.7,8,4,9,20,49.6,4,28,0
5.8,7,4,10,19,56.9,4,21,0
5.1,,8,12,13,67.7,4,32,0
4.9,11,11,,31,56.9,,52,0
2.2,3,2,3,13,40.3,1,9,0
5.9,6,7,14,29,66.8,4,42,0
5.5,8,4,13,19,60.6,3,27,0
5.1,6,2,,0,67.7,3,11,1
3.3,4,2,5,9,9,,,1
4.6,6,6,20,19,54.6,5,41,0
1.5,9,11,24,47,41.6,5,,0
7.7,8,8,18,,62.5,,47,0
5.9,10,7,15,27,53.6,30,41,0
5.5,3,2,2,2,74.2,0,4,1
4.4,,4,4,0,68.4,5,11,1
4.5,4,5,1,12,56.6,2,15,1
8,3,6,8,12,70.1,5,23,0
4.9,9,8,15,30,47.7,6,50,0
,9,4,15,30,44.1,4,43,0
8.8,9,10,19,38,66.8,7,59,0
4,10,,20,30,,,53,0
6.3,6,1,,,69.4,2,13,1
5.1,4,0,6,5,61.2,3,12,1
4.4,7,11,,42,45.7,3,63,0
6.2,8,8,16,29,58.3,,46,0
4,3,1,7,2,57.6,0,8,1
9.1,11,,,12,80,6,27,1
6.4,6,3,7,3,71.5,,14,1
5.4,10,9,,28,57.5,6,50,0
3,8,4,16,26,46.7,5,46,0
5.6,6,8,13,18,70.3,5,,0
4.6,3,5,8,3,62,3,17,0
6.3,9,9,17,25,64,6,138,0
1.6,10,10,16,33,41.2,,49,0
3,6,7,13,12,62,4,27,0
8.7,8,7,16,26,67.2,6,46,0
4.7,9,11,26,44,60.5,,69,0
7.5,4,2,5,1,73,2,7,1
7.1,7,6,12,19,74.1,5,42,0
8.3,9,7,15,27,72.8,5,41,0
6.9,,3,3,7,61.4,2,10,1
4.7,9,,,36,59.8,7,68,0
7.3,6,2,6,0,,2,11,1
,,3,10,12,63.1,3,26,0
5,4,1,3,3,63.8,1,1,1
1.7,10,9,26,44,,7,64,0
2.8,6,10,23,42,51.6,,62,0
5.6,7,5,,15,56.9,25,31,0
6.2,5,4,6,3,73.5,2,16,1
,6,6,12,11,67.4,4,22,1
5.8,6,7,14,,73.5,5,39,0
2.2,5,8,10,17,47.8,,,0
8.3,9,9,20,26,69.5,6,,0
2.8,3,2,9,0,64,1,10,1
5.6,8,7,16,25,55.8,4,41,0
3.2,11,8,13,28,44.5,6,46,0
0.6,4,3,10,21,38.1,3,26,0
4,9,5,8,21,52.4,3,24,0
4.6,6,5,13,24,58.1,3,36,0
4.2,6,4,10,10,59.9,5,24,0
2.4,5,3,6,9,50.4,2,17,0
8,7,10,20,29,73.6,4,59,0
5.4,5,3,,4,70.3,3,19,1
5.9,9,7,14,20,67.5,3,,0
2.4,10,6,18,32,41.6,7,46,0
4.7,5,1,1,0,67,4,6,1
4.6,11,9,20,36,63.8,6,55,0
6,3,4,9,14,60.7,1,24,1
6.2,6,3,11,14,57.9,2,25,0
4.9,7,6,13,19,61.8,3,38,0
4.4,6,6,11,21,57.1,3,34,0
6.5,9,11,15,37,69.9,,56,0
3.9,9,7,13,24,49.4,7,39,0
7.5,4,4,7,9,70.2,,19,1
5.1,7,2,6,14,62.1,4,,1
3.4,8,7,9,23,51.9,5,24,0
2,8,7,15,26,43.3,5,42,0
6.2,7,7,9,,65.2,5,,0
5.1,6,8,17,,60.8,1,43,0
6,5,5,6,4,65.7,5,15,1
4.2,3,2,,3,,2,6,1
3.5,6,5,9,22,52.5,4,33,0
2.2,3,4,1,3,57.2,3,10,1
3.3,3,0,4,5,49.9,4,8,1
7.7,7,6,13,28,62.3,4,35,0
5.3,4,0,4,0,66.4,2,10,1
5.2,5,3,14,0,66.3,3,28,1
6.5,9,7,9,21,53.9,5,34,0
3.7,5,4,10,14,50.4,2,29,0
,10,6,12,19,,6,148,0
8.7,10,7,15,22,68.9,6,45,0
2.9,6,2,12,11,43.5,3,24,0
6.7,8,4,5,6,82.7,4,14,1
2.9,5,9,12,22,55.9,3,34,0
5.2,6,,8,,58.9,3,32,0
5,8,6,14,18,51.9,5,36,0
7.1,5,2,3,0,81.7,4,14,1
7.8,8,8,13,17,75.5,5,39,0
8.4,5,1,,0,75.6,1,3,1
